Serial_number:
1025413
Project ID:
3
Location:
Greenough Testing
Level
UNIT: ft
Offset: 0.000000 ft
Altitude: 0.000000 ft
Density: 1.000000 kg/L
Temperature
UNIT: Deg C
Date,Time,ms,Level,Temperature
4/11/2018,03:05:08 pm,0,-1.2444,15.676
4/11/2018,03:05:08 pm,500,-1.2436,15.688
4/11/2018,03:05:09 pm,0,-1.2430,15.699
4/11/2018,03:05:09 pm,500,-1.2428,15.707
4/11/2018,03:05:10 pm,0,-1.2416,15.714
4/11/2018,03:05:10 pm,500,-1.2426,15.718
4/11/2018,03:05:11 pm,0,-1.2425,15.719
4/11/2018,03:05:11 pm,500,-1.2430,15.732
4/11/2018,03:05:12 pm,0,-1.2438,15.730
4/11/2018,03:05:12 pm,500,-1.2414,15.737
4/11/2018,03:05:13 pm,0,-1.2410,15.741
4/11/2018,03:05:13 pm,500,-1.2413,15.743
4/11/2018,03:05:14 pm,0,-1.2431,15.745
4/11/2018,03:05:14 pm,500,-1.2423,15.749
4/11/2018,03:05:15 pm,0,-1.2429,15.752
4/11/2018,03:05:15 pm,500,-1.2411,15.754
4/11/2018,03:05:16 pm,0,-1.2414,15.756
4/11/2018,03:05:16 pm,500,-1.2418,15.759
4/11/2018,03:05:17 pm,0,-1.2408,15.762
4/11/2018,03:05:17 pm,500,-1.2420,15.764
4/11/2018,03:05:18 pm,0,-1.2421,15.766
4/11/2018,03:05:18 pm,500,-1.2407,15.769
4/11/2018,03:05:19 pm,0,-1.2415,15.772
4/11/2018,03:05:19 pm,500,-1.2406,15.774
4/11/2018,03:05:20 pm,0,-1.2415,15.776
4/11/2018,03:05:20 pm,500,-1.2422,15.778
4/11/2018,03:05:21 pm,0,-1.2424,15.781
4/11/2018,03:05:21 pm,500,-1.2419,15.783
4/11/2018,03:05:22 pm,0,-1.2413,15.785
4/11/2018,03:05:22 pm,500,-1.2473,15.788
4/11/2018,03:05:23 pm,0,-1.2441,15.789
4/11/2018,03:05:23 pm,500,-1.2435,15.792
4/11/2018,03:05:24 pm,0,-1.2524,15.794
4/11/2018,03:05:24 pm,500,-1.2529,15.797
4/11/2018,03:05:25 pm,0,-1.2531,15.798
4/11/2018,03:05:25 pm,500,-1.2535,15.801
4/11/2018,03:05:26 pm,0,-1.2529,15.804
4/11/2018,03:05:26 pm,500,-1.2514,15.806
4/11/2018,03:05:27 pm,0,-1.2518,15.807
4/11/2018,03:05:27 pm,500,-1.2520,15.810
4/11/2018,03:05:28 pm,0,-1.2489,15.813
4/11/2018,03:05:28 pm,500,-1.2489,15.814
4/11/2018,03:05:29 pm,0,-1.2462,15.817
4/11/2018,03:05:29 pm,500,-1.2490,15.819
4/11/2018,03:05:30 pm,0,-1.2414,15.820
4/11/2018,03:05:30 pm,500,-1.2473,15.823
4/11/2018,03:05:31 pm,0,-1.2553,15.825
4/11/2018,03:05:31 pm,500,-1.2535,15.827
4/11/2018,03:05:32 pm,0,-1.2485,15.830
4/11/2018,03:05:32 pm,500,-1.2537,15.831
4/11/2018,03:05:33 pm,0,-1.2465,15.833
4/11/2018,03:05:33 pm,500,-1.2479,15.836
4/11/2018,03:05:34 pm,0,-1.1979,15.838
4/11/2018,03:05:34 pm,500,-1.1749,15.841
4/11/2018,03:05:35 pm,0,-1.1619,15.844
4/11/2018,03:05:35 pm,500,-1.1612,15.848
4/11/2018,03:05:36 pm,0,-1.1714,15.852
4/11/2018,03:05:36 pm,500,-1.1700,15.858
4/11/2018,03:05:37 pm,0,-1.1722,15.864
4/11/2018,03:05:37 pm,500,-1.1707,15.873
4/11/2018,03:05:38 pm,0,-1.1672,15.882
4/11/2018,03:05:38 pm,500,-1.1666,15.893
4/11/2018,03:05:39 pm,0,-1.1685,15.904
